Part Instance,Element ID,Type,Int. Pt.,S: S12
SQUAREPRISM5U-1,111,S8R,2,-1.87987E+06
SQUAREPRISM5U-1,111,S8R,1,-429.265E+03
SQUAREPRISM5U-1,111,S8R,3,-1.7835E+06
SQUAREPRISM5U-1,111,S8R,4,-1.02937E+06
SQUAREPRISM5U-1,112,S8R,1,-2.12172E+06
SQUAREPRISM5U-1,112,S8R,2,-1.30674E+06
SQUAREPRISM5U-1,112,S8R,3,-901.366E+03
SQUAREPRISM5U-1,112,S8R,4,-544.481E+03
SQUAREPRISM5U-1,113,S8R,1,-541.531E+03
SQUAREPRISM5U-1,113,S8R,2,541.532E+03
SQUAREPRISM5U-1,113,S8R,3,-210.339E+03
SQUAREPRISM5U-1,113,S8R,4,210.339E+03
SQUAREPRISM5U-1,114,S8R,1,1.30674E+06
SQUAREPRISM5U-1,114,S8R,2,2.12172E+06
SQUAREPRISM5U-1,114,S8R,3,544.481E+03
SQUAREPRISM5U-1,114,S8R,4,901.366E+03
SQUAREPRISM5U-1,115,S8R,1,1.87987E+06
SQUAREPRISM5U-1,115,S8R,2,429.265E+03
SQUAREPRISM5U-1,115,S8R,3,1.02937E+06
SQUAREPRISM5U-1,115,S8R,4,1.7835E+06
SQUAREPRISM5U-1,71,S8R,1,2.49928E+06
SQUAREPRISM5U-1,71,S8R,2,4.29296E+06
SQUAREPRISM5U-1,71,S8R,3,3.99487E+06
SQUAREPRISM5U-1,71,S8R,4,3.44958E+06
SQUAREPRISM5U-1,72,S8R,1,5.10859E+06
SQUAREPRISM5U-1,72,S8R,2,5.39275E+06
SQUAREPRISM5U-1,72,S8R,3,3.59865E+06
SQUAREPRISM5U-1,72,S8R,4,3.55502E+06
SQUAREPRISM5U-1,73,S8R,1,5.41541E+06
SQUAREPRISM5U-1,73,S8R,2,5.19475E+06
SQUAREPRISM5U-1,73,S8R,3,3.52662E+06
SQUAREPRISM5U-1,73,S8R,4,3.33235E+06
SQUAREPRISM5U-1,74,S8R,1,4.81643E+06
SQUAREPRISM5U-1,74,S8R,2,4.03058E+06
SQUAREPRISM5U-1,74,S8R,3,3.06582E+06
SQUAREPRISM5U-1,74,S8R,4,2.67966E+06
SQUAREPRISM5U-1,75,S8R,1,3.13725E+06
SQUAREPRISM5U-1,75,S8R,2,1.69938E+06
SQUAREPRISM5U-1,75,S8R,3,2.27012E+06
SQUAREPRISM5U-1,75,S8R,4,2.0769E+06
SQUAREPRISM5U-1,191,S8R,1,-370.638E+03
SQUAREPRISM5U-1,191,S8R,2,724.162E+03
SQUAREPRISM5U-1,191,S8R,3,-134.476E+03
SQUAREPRISM5U-1,191,S8R,4,-150.089E+03
SQUAREPRISM5U-1,192,S8R,1,1.04371E+06
SQUAREPRISM5U-1,192,S8R,2,730.425E+03
SQUAREPRISM5U-1,192,S8R,3,-17.6165E+03
SQUAREPRISM5U-1,192,S8R,4,55.2819E+03
SQUAREPRISM5U-1,193,S8R,1,320.866E+03
SQUAREPRISM5U-1,193,S8R,2,-320.866E+03
SQUAREPRISM5U-1,193,S8R,3,16.0656E+03
SQUAREPRISM5U-1,193,S8R,4,-16.0656E+03
SQUAREPRISM5U-1,194,S8R,1,-730.425E+03
SQUAREPRISM5U-1,194,S8R,2,-1.04371E+06
SQUAREPRISM5U-1,194,S8R,3,-55.282E+03
SQUAREPRISM5U-1,194,S8R,4,17.6165E+03
SQUAREPRISM5U-1,195,S8R,1,-724.162E+03
SQUAREPRISM5U-1,195,S8R,2,370.638E+03
SQUAREPRISM5U-1,195,S8R,3,150.089E+03
SQUAREPRISM5U-1,195,S8R,4,134.476E+03
SQUAREPRISM5U-1,151,S8R,1,-1.69938E+06
SQUAREPRISM5U-1,151,S8R,2,-3.13725E+06
SQUAREPRISM5U-1,151,S8R,3,-2.0769E+06
SQUAREPRISM5U-1,151,S8R,4,-2.27012E+06
SQUAREPRISM5U-1,152,S8R,1,-4.03058E+06
SQUAREPRISM5U-1,152,S8R,2,-4.81643E+06
SQUAREPRISM5U-1,152,S8R,3,-2.67966E+06
SQUAREPRISM5U-1,152,S8R,4,-3.06582E+06
SQUAREPRISM5U-1,153,S8R,1,-5.19475E+06
SQUAREPRISM5U-1,153,S8R,2,-5.41541E+06
SQUAREPRISM5U-1,153,S8R,3,-3.33235E+06
SQUAREPRISM5U-1,153,S8R,4,-3.52662E+06
SQUAREPRISM5U-1,154,S8R,1,-5.39275E+06
SQUAREPRISM5U-1,154,S8R,2,-5.10859E+06
SQUAREPRISM5U-1,154,S8R,3,-3.55502E+06
SQUAREPRISM5U-1,154,S8R,4,-3.59865E+06
SQUAREPRISM5U-1,155,S8R,1,-4.29296E+06
SQUAREPRISM5U-1,155,S8R,2,-2.49928E+06
SQUAREPRISM5U-1,155,S8R,3,-3.44958E+06
SQUAREPRISM5U-1,155,S8R,4,-3.99487E+06
