Position,Stress
0,696081.75
0,1805104.625
0.100000001,3592096
0.100000001,3069501
0.200000003,7481182.5
0.200000003,6490714.5
0.300000012,13348776
0.300000012,14527650
0.400000006,26925904
0.400000006,25767416
0.5,46842448
0.5,47072368
0.600000024,81283744
0.600000024,77401600
0.699999988,121212848
0.699999988,121505600
0.800000012,120120936
0.800000012,119360792
0.899999976,74058720
0.899999976,78180752
1,43262716
1,43518544
1.100000024,24207896
1.100000024,23025460
1.200000048,13607915
1.200000048,14553980
1.299999952,11920200
1.299999952,12329832
1.399999976,15174617
1.399999976,15053572
1.5,21464054
1.5,22001078
