Mission,Dev. Cost,M_Structure,M_Thermal,M_Power,M_TTC,M_CDH,M_ADCS,M_Propulsion,P_Structure,P_Thermal,P_Power,P_TT&C,P_CDH,P_ADCS,P_Propulsion
NEAR,220200000.00,0.22,0.04,0.23,0.05,0.06,0.06,0.25,0,0.2,0.01,0.08,0.11,0.07,0.53
MRO,740000000.00,0.38,0.04,0.29,0.08,0.03,0.06,0.12,0.06,0.31,0.06,0.32,0.14,0.11,0
Messanger,240000000.00,0.27,0.11,0.26,0.07,0.02,0.08,0.19,0,0.06,0.2,0.24,0.06,0.22,0.22
Stardust ,206200000.00,0.27,0.05,0.43,0.09,0.04,0.04,0.08,0,0.17,0.24,0.25,0.18,0.12,0.04
Cassini,2442100000.00,0.21,0.05,0.21,0.1,0.08,0.09,0.26,0,0.25,0.09,0,0.25,0.25,0.16
ACE,250000000.00,0.34,0.11,0.30,0.06,0.07,0.02,0.10,0,0.45,0.065,0,0.42,0.065,0
Triana,276000000.00,0.19,0.05,0.09,0.06,0.05,0.14,0.42,0,0.26,0.16,0.15,0.06,0.37,0
SOHO,1366000000.00,0.29,0.07,0.31,0.03,0.10,0.12,0.08,0,0.23,0.18,0,0.23,0.29,0.07
STEREO,643000000.00,0.37,0.05,0.32,0.08,0.01,0.09,0.08,0,0.13,0.13,0.32,0.1,0.2,0.12
SDO,1104000000.00,0.43,0.04,0.25,0.06,0.05,0.09,0.08,0,0.17,0.23,0.2,0.105,0.28,0.015
Aqua,1450000000.00,0.41,0.03,0.43,0.02,0.03,0.06,0.02,0,0.08,0.08,0,0.54,0.27,0.03
fermi glast,274000000.00,0.40,0.03,0.40,0.03,0.03,0.07,0.04,0,0.27,0.29,0.04,0.17,0.19,0.04
TRMM,530280000.00,0.50,0.05,0.24,0.01,0.04,0.09,0.07,0.06,0.31,0.19,0.09,0.09,0.26,0
Terra,1365000000.00,0.44,0.07,0.28,0.05,0.09,0.05,0.02,0,0.09,0.15,0,0.61,0.15,0
ST5,51000000.00,0.35,0.03,0.33,0.09,0.10,0.05,0.05,0,0.00,0.175,0.65,0.1375,0.025,0.0125
