Concept name,Collector,Transmitter,Orbit,Single sc mass,Launcher
Joshua,AZUR QJ 4G32C C8.5,Microwave,Frozen low i78 p20 e0,,Starship
Jane,AZUR QJ 4G32C C8.5,Microwave,Frozen low i78 p20 e0,,Starship
Jiovanni,AZUR QJ 4G32C C8.5,Laser,Frozen elliptical e0.5,,Starship
Jolene,AZUR QJ 4G32C,Laser,Frozen elliptical e0.5,,Starship
Jennifer,AZUR QJ 4G32C,Laser,Frozen elliptical e0.5,,Starship
I,AZUR QJ 4G32C,Microwave,Frozen low i78 p20 e0,,Starship
II,AZUR QJ 4G32C,Laser,Frozen low i78 p20 e0,,Starship
III,AZUR QJ 4G32C,Laser,Frozen elliptical e0.5,,Starship
IV,AZUR QJ 4G32C C8.5,Microwave,Frozen low i78 p20 e0,,Starship
V,AZUR QJ 4G32C C8.5,Laser,Frozen low i78 p20 e0,,Starship
VI,AZUR QJ 4G32C C8.5,Laser,Frozen elliptical e0.5,,Starship
